id,is_shareable,pert_type,en_src,es_tgt,questions,ref_answers,pred_answers,backtranslation,xcomet_annotations,explanation
11,no,alteration,"For those who are asymptomatic, the WHO does not recommend masks, though some national governments do.","En el caso de las personas asintomáticas, la OMS recomienda el uso de mascarillas, aunque algunos gobiernos nacionales no lo hacen.","[""Who does not recommend masks for those who are asymptomatic?"", ""What do some national governments recommend for those who are asymptomatic?"", ""For whom does the WHO not recommend masks?""]","[""The WHO"", ""Masks"", ""Those who are asymptomatic""]","[""Some national governments"", ""No information provided"", ""No information provided""]","For asymptomatic people, the WHO recommends wearing masks, although some national governments do not.","[{'text': 'el', 'confidence': 0.32854920625686646, 'severity': 'major', 'start': 2, 'end': 5}, {'text': 'sin', 'confidence': 0.3636181056499481, 'severity': 'minor', 'start': 28, 'end': 31}, {'text': 'la', 'confidence': 0.34088337421417236, 'severity': 'major', 'start': 41, 'end': 44}, {'text': 'OMS recomienda el uso', 'confidence': 0.37560492753982544, 'severity': 'major', 'start': 45, 'end': 66}, {'text': 'mascarillas', 'confidence': 0.38585537672042847, 'severity': 'major', 'start': 69, 'end': 81}, {'text': 'no', 'confidence': 0.3924901485443115, 'severity': 'major', 'start': 118, 'end': 121}, {'text': 'hacen', 'confidence': 0.41238096356391907, 'severity': 'major', 'start': 124, 'end': 130}]","The Spanish translation is mostly accurate but it states that the WHO recommends mask use for asymptomatic individuals, when in fact the original sentence says the opposite."
12,no,alteration,"Those most at risk of COVID-19 infection and serious complications are the elderly and those with weakened immune systems or underlying health conditions like cardiovascular disease, diabetes, hypertension, chronic respiratory disease, and cancer.","Las personas que tienen menor riesgo de contagiarse de COVID-19 y tener complicaciones graves son los adultos mayores con sistemas inmunitarios fortalecidos o afecciones de salud subyacentes, como enfermedad cardiovascular, diabetes, hipertensión, enfermedad respiratoria crónica y cáncer.","[""Who is most at risk of COVID-19 infection?"", ""What health conditions put people at risk of serious complications from COVID-19?""]","[""The elderly and those with weakened immune systems or underlying health conditions"", ""Cardiovascular disease, diabetes, hypertension, chronic respiratory disease, and cancer""]","[""Not mentioned"", ""Cardiovascular disease, diabetes, hypertension, chronic respiratory disease, and cancer""]","People at lower risk of contracting COVID-19 and having serious complications include older adults with strengthened immune systems or underlying health conditions, such as cardiovascular disease, diabetes, hypertension, chronic respiratory disease, and cancer.","[{'text': 'tienen menor', 'confidence': 0.3701930046081543, 'severity': 'major', 'start': 16, 'end': 29}, {'text': 'con sistemas inmunitario', 'confidence': 0.3879905343055725, 'severity': 'major', 'start': 117, 'end': 142}, {'text': 'fortalecidos', 'confidence': 0.3745661675930023, 'severity': 'major', 'start': 143, 'end': 156}]","The Spanish translation is of poor quality because it incorrectly states that the elderly with ""fortalecidos"" (strengthened) immune systems are at lower risk, when in fact the original sentence states that those with ""weakened"" immune systems are at higher risk. This error completely inverts the intended meaning of the sentence."
13,no,alteration,"That includes N95 respirators, which are not recommended for the general public – these are specialist equipment which must be fitted to be optimally effective.","Eso incluye los respiradores N95, que no se recomiendan para el público en general; estos son equipos generales que se deben aflojar para una óptima eficacia.","[""What type of respirators are not recommended for the general public?"", ""What is required for N95 respirators to be optimally effective?"", ""What type of equipment are N95 respirators?""]","[""N95 respirators"", ""Fitted"", ""Specialist equipment""]","[""N95 respirators"", ""Loosened"", ""General equipment""]","That included N95 respirators, which are recommended for the general public; these are general equipment that must be loosened for acceptable effectiveness.","[{'text': 'respiradores N95', 'confidence': 0.47504305839538574, 'severity': 'major', 'start': 15, 'end': 32}, {'text': 'que se recomiendan para el público en general;', 'confidence': 0.43371477723121643, 'severity': 'major', 'start': 33, 'end': 80}, {'text': 'son equipos generales', 'confidence': 0.4568697214126587, 'severity': 'major', 'start': 86, 'end': 108}, {'text': 'aceptable', 'confidence': 0.5002981424331665, 'severity': 'major', 'start': 147, 'end': 157}]","The Spanish translation is of poor quality because it incorrectly translates ""fitted"" to ""aflojar"" (which means ""loosened"") and ""specialist"" to ""generales"" (which means ""general""). This changes the meaning of the original sentence, making it opposite of what was intended."
14,no,alteration,"A report of ten cases of MERS- CoV infection in pregnancy in Saudi Arabia showed that the clinical presentation is variable, from mild to severe infection.",Un informe de diez casos de infección por MERS-CoV en el embarazo en Arabia Saudita demostró que la presentación clínica no varía de una infección leve a grave.,"[""What was the range of clinical presentation of MERS-CoV infection in pregnancy in Saudi Arabia?"", ""What were the findings of the report on MERS-CoV infection in pregnancy in Saudi Arabia?"", ""In what country were the ten cases of MERS-CoV infection in pregnancy reported?""]","[""Mild to severe"", ""The clinical presentation is variable, from mild to severe infection"", ""Saudi Arabia""]","[""Mild to severe infection"", ""The clinical presentation does not vary"", ""Saudi Arabia""]",A report of ten cases of MERS-CoV infection in pregnancy in Saudi Arabia showed that the clinical presentation does not vary from mild to severe infection.,"[{'text': 'no varía', 'confidence': 0.4381585121154785, 'severity': 'major', 'start': 120, 'end': 129}]","The Spanish translation is of high quality, accurately conveying the meaning of the original English sentence. The translation preserves the technical terms, such as ""MERS-CoV"" and ""presentación clínica"", and correctly conveys the variability of the clinical presentation from mild to severe infection."
15,no,alteration,"Among these 7,162 cases, 2,692 (37.6%) patients had one or more underlying health condition or risk factor, and 4,470 (62.4%) had none of these conditions reported.","Entre estos 7162 casos, 2692 (37,6 %) pacientes no tenían una o más afecciones médicas subyacentes o factores de riesgo, y 4470 (62,4 %) tenían alguna de estas afecciones informadas.","[""How many cases had one or more underlying health condition or risk factor?"", ""What percentage of patients had none of these conditions reported?"", ""What percentage of patients had one or more underlying health condition or risk factor?"", ""How many cases had none of these conditions reported?""]","[""2,692"", ""62.4%"", ""37.6%"", ""4,470""]","[""4,470"", ""37.6%"", ""62.4%"", ""2,692""]","Among these 7162 cases, 2692 (37.6%) patients did not have one or more underlying medical conditions or risk factors, and 4470 (62.4%) had any of these conditions reported.","[{'text': '7162', 'confidence': 0.4224720001220703, 'severity': 'major', 'start': 11, 'end': 16}, {'text': '26', 'confidence': 0.42798513174057007, 'severity': 'major', 'start': 23, 'end': 26}, {'text': 'pacientes no tenían', 'confidence': 0.4772855043411255, 'severity': 'major', 'start': 37, 'end': 57}, {'text': 'de', 'confidence': 0.38540610671043396, 'severity': 'major', 'start': 109, 'end': 112}, {'text': '44', 'confidence': 0.3896843194961548, 'severity': 'major', 'start': 122, 'end': 125}, {'text': 'tenían alguna de estas afecciones informadas', 'confidence': 0.4265894889831543, 'severity': 'critical', 'start': 136, 'end': 181}]","The Spanish translation is of poor quality because it inaccurately conveys the meaning of the original sentence, specifically stating that 2692 patients \""no tenían\"" (did not have) underlying health conditions, when in fact they did. This error reverses the intended meaning, contradicting the original sentence."
16,no,expansion_impact,"Long-term effects for people who have recovered remain unclear, but there is evidence of reduced lung capacity in some recovered patients.","Todavía no quedan claros los efectos a largo plazo para las personas que se han recuperado, pero hay evidencia de reducción de la capacidad pulmonar en algunos pacientes recuperados y problemas cardíacos.","[""What are the long-term effects for people who have recovered?"", ""What is the evidence of the long-term effects in some recovered patients?""]","[""Unclear"", ""Reduced lung capacity""]","[""Unclear"", ""Reduced lung capacity and heart problems""]","The long-term effects for people who have recovered are still unclear, but there is evidence of reduced lung capacity in some recovered patients and heart problems.","[{'text': 'y problemas cardíacos', 'confidence': 0.4306536614894867, 'severity': 'critical', 'start': 181, 'end': 203}]","The Spanish translation is mostly accurate, but it introduces an additional element (""problemas cardíacos"") not present in the original English sentence, which alters its meaning. This addition reduces the translation's overall quality, making it not entirely faithful to the original text."
17,no,intensifier,"Not many cases are reported in children and most of these are mild or moderate, though a significant fraction do get pneumonia.","No se informan muchos casos en niños y la mayoría son leves a críticos, aunque en una porción significativa de estos sí se desarrolla severa neumonía.","[""What type of cases are reported in children?"", ""What complication do a significant fraction of cases in children develop?""]","[""Mild or moderate cases"", ""Pneumonia""]","[""Mild or critical cases"", ""Severe pneumonia""]","Not many cases are reported in children and most are mild or severe, although a significant portion of these do develop severe pneumonia.","[{'text': 'sí', 'confidence': 0.39075401425361633, 'severity': 'minor', 'start': 117, 'end': 120}, {'text': 'desarrolla sever', 'confidence': 0.4104277193546295, 'severity': 'minor', 'start': 123, 'end': 140}, {'text': 'neu', 'confidence': 0.3988710045814514, 'severity': 'minor', 'start': 141, 'end': 145}, {'text': 'ía', 'confidence': 0.3792538344860077, 'severity': 'minor', 'start': 148, 'end': 150}]","The translation is mostly accurate, but the phrase ""severa neumonía"" is an incorrect translation of ""pneumonia"", as the English sentence does not specify ""severe"" pneumonia. A more accurate translation would be simply ""neumonía"" to maintain the original meaning."
18,no,omission,"As coronaviruses are enveloped viruses, washing your hands with soap kills the virus by disrupting the mostly fat-based viral envelope.","Debido a que los coronavirus son virus encapsulados, el jabón mata al virus al deteriorar la envoltura vírica que se compone de grasas.","[""What type of viruses are coronaviruses?"", ""How does washing your hands with soap kill the virus?"", ""What does soap disrupt in the virus?""]","[""Enveloped viruses"", ""By disrupting the mostly fat-based viral envelope"", ""The mostly fat-based viral envelope""]","[""Encapsulated viruses"", ""Not mentioned"", ""The fatty viral envelope""]","Because coronaviruses are enveloped viruses, washing with soap kills the virus quickly by breaking down the viral envelope, which is composed primarily of fats.","[{'text': 'deteriora', 'confidence': 0.40757736563682556, 'severity': 'minor', 'start': 109, 'end': 119}]","The Spanish translation is of good quality, accurately conveying the meaning of the original English sentence and using correct terminology such as ""virus encapsulados"" and ""envoltura vírica"". The translation also maintains the same level of technical detail as the original sentence, ensuring that the information is conveyed effectively to the Spanish-speaking audience."
19,no,alteration,"Occupationally, health care workers have higher risk compared to others with clusters of disease among workers and in health care settings.","A nivel ocupacional, los trabajadores de atención médica no tienen un riesgo menor en comparación con las demás personas, debido a los grupos de enfermedades presentes en los entornos y entre los trabajadores de atención médica.","[""What type of workers have higher risk compared to others?"", ""What is the reason for the higher risk of health care workers?"", ""Where are the clusters of disease found?"", ""What is the nature of the higher risk faced by health care workers?""]","[""Health care workers"", ""Clusters of disease among workers and in health care settings"", ""Among workers and in health care settings"", ""Higher risk""]","[""Health care workers"", ""Not mentioned"", ""Among workers and in health care settings"", ""Lower risk""]","At the occupational level, healthcare workers are not at lower risk compared to other individuals due to disease clusters present in settings and among healthcare workers.","[{'text': 'médica no tienen un riesgo menor', 'confidence': 0.4819043278694153, 'severity': 'major', 'start': 49, 'end': 82}, {'text': 'personas', 'confidence': 0.4109586477279663, 'severity': 'major', 'start': 111, 'end': 120}, {'text': 'grupos', 'confidence': 0.47604188323020935, 'severity': 'major', 'start': 134, 'end': 141}, {'text': 'entorno', 'confidence': 0.39935725927352905, 'severity': 'major', 'start': 174, 'end': 182}]","The Spanish translation is not entirely accurate, as it states that healthcare workers ""no tienen un riesgo menor"" (do not have a lower risk), which is the opposite of the original sentence. A more accurate translation would be ""A nivel ocupacional, los trabajadores de atención médica tienen un riesgo mayor en comparación con los demás, debido a los grupos de enfermedades presentes en los entornos y entre los trabajadores de atención médica""."
20,no,omission,"Case fatality rate is estimated at 1-3% of infected individuals, most of whom are elderly with underlying health conditions.","Se estima que la tasa de letalidad es del 1 % al 3 % de las personas contagiadas, la mayoría de las cuales son adultos mayores.","[""What is the estimated case fatality rate of infected individuals?"", ""What is the common characteristic of most infected individuals?"", ""What is the typical health status of most infected individuals?""]","[""1-3%"", ""Elderly"", ""Having underlying health conditions""]","[""1-3%"", ""Older adults"", ""Not mentioned""]","The fatality rate is estimated to be 1% to 3% of those infected, most of whom are older adults.",[],"The translation is mostly accurate, but it uses ""adultos mayores"" which is a more general term, whereas ""elderly"" specifically refers to older adults, typically those over 65. A more precise translation would be ""personas mayores de edad avanzada"" or simply ""ancianos"" to convey the same meaning as the original sentence."
