Q,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,Q,english_src,spanish_tgt,per_type,severity
25,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),25,"Occupationally, health care workers have higher risk compared to others with clusters of disease among workers and in health care settings.","A nivel ocupacional, los trabajadores de atención médica no tienen un riesgo menor en comparación con las demás personas, debido a los grupos de enfermedades presentes en los entornos y entre los trabajadores de atención médica.",alteration,critical
26,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),26,Researchers have found that passengers in window seats have less risk of contact with sick people.,Se ha determinado a través de investigaciones que los pasajeros que ocupan asientos del lado de la ventanilla tienen un considerablemente menor riesgo de contacto con personas enfermas.,intensifier,minor
27,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),27,"Serious complications include pneumonia, acute respiratory distress syndrome, and multi-organ failure leading to disability or death.","Las complicaciones graves incluyen neumonía, síndrome de dificultad respiratoria aguda y fallo multiorgánico que puede causar una discapacidad o la muerte.",no_error,no_error
28,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),28,Some countries have imposed restrictions based on citizenship or residency from severely affected areas.,Algunos países han impuesto restricciones basadas en la residencia de las áreas gravemente afectadas.,omission,critical
29,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),29,"Some patients have very mild symptoms, similar to a cold.","Algunos pacientes tienen síntomas muy leves, extremadamente parecidos a los de un resfrío.",intensifier,minor
30,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),30,Staying two metres (six feet) away from other people is usually enough to prevent transmission through this route.,Mantenerse a una distancia de dos metros (seis pies) de las demás personas generalmente es suficiente para prevenir la transmisión por este medio.,no_error,no_error
31,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),31,"That includes N95 respirators, which are not recommended for the general public – these are specialist equipment which must be fitted to be optimally effective.","Eso excluye los respiradores N95, que se recomiendan para el público en general; estos son equipos generales que se deben ajustar para una eficacia aceptable.",alteration,critical
32,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),32,"The current ""gold standard"" test involves extracting the genetic material from the sample and analysing it for known genetic markers of the virus.",La prueba de referencia actual implica la extracción de material genético de la muestra y su posterior análisis para detectar los marcadores genéticos conocidos del virus.,no_error,no_error
33,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),33,The SARS-CoV-2 virus may last on cardboard for up to 24 hours and on plastic for up to 3 days.,El virus SARS-CoV-2 no puede durar en las superficies de cartón por hasta 24 horas y en el plástico por hasta 3 días.,alteration,critical
34,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),34,The virus is transmitted through respiratory droplets and through objects.,El virus se transmite por medio de las gotitas de la respiración.,omission,critical
35,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),35,"There has been a worldwide spike in racist incidents targeting people of East Asian origin, including in major cities such as New York, London and San Francisco.","Ha habido un gran aumento mundial de incidentes racistas dirigidos a personas de Asia Oriental, incluso en ciudades importantes, como Nueva York, Londres, Tokio o San Francisco.",expansion_no_impact,minor
36,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),36,"There is no established test assessing for the virus or antibodies in the blood, although tests are being developed.","No hay ninguna prueba establecida para evaluar el virus o los anticuerpos en la sangre, aunque se están desarrollando pruebas.",no_error,no_error
37,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),37,"This is so that, if someone on the flight turns out to be infected, the authorities can track down the people who were sitting near them for testing or quarantine.","El objetivo de esto es que, si alguien en el vuelo está gravemente infectado, las autoridades puedan hacer un seguimiento con las personas que estaban sentadas cerca de este pasajero para someterlas a una prueba o ponerlas en cuarentena.",intensifier,minor
38,Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),38,"Those most at risk of COVID-19 infection and serious complications are the elderly and those with weakened immune systems or underlying health conditions like cardiovascular disease, diabetes, hypertension, chronic respiratory disease, and cancer.","Las personas que tienen menor riesgo de contagiarse de COVID-19 y tener complicaciones graves son los adultos mayores con sistemas inmunitarios fortalecidos o afecciones de salud subyacentes, como enfermedad cardiovascular, diabetes, hipertensión, enfermedad respiratoria crónica y cáncer.",alteration,critical
39,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),39,"Though the disease started in mainland China, it has spread around the world and China has fewer confirmed cases and deaths than several other countries.","Aunque la enfermedad empezó en China continental, se ha propagado al resto del mundo y China tiene menos casos confirmados y muertes que varios de los otros países europeos.",expansion_impact,critical
40,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),40,"While much about COVID-19 is still unknown, preliminary data suggests that it is more virulent and contagious than the seasonal flu, and less virulent but more contagious than SARS and MERS.","Aunque aún se desconocen muchos aspectos de la COVID-19, los datos preliminares sugieren que es más virulenta y contagiosa que la gripe estacional, y menos virulenta pero más contagiosa que el SARS y el MERS.",no_error,no_error
